event_id,event_date,event_type,symbol,pre_event_car,pre_event_t_stat,pre_event_p_value
31,2023-06-05,Reg_Negative,ADA,-0.026674608487618108,-0.13102679568921693,0.8958594868034646
32,2023-06-06,Reg_Negative,BTC,-0.14168575697170332,-0.9022506554497864,0.3677921813068301
32,2023-06-06,Reg_Negative,ETH,-0.07367502407286579,-0.3602913727045664,0.7189334574954662
32,2023-06-06,Reg_Negative,SOL,-0.054358767970778515,-0.15945057692727763,0.8734426378946396
32,2023-06-06,Reg_Negative,ADA,-0.051085933166072864,-0.2508484028720207,0.8021373622705046
33,2023-06-15,Reg_Positive,BTC,-0.11525953234020289,-0.7320271257407338,0.4648376846364408
33,2023-06-15,Reg_Positive,ETH,-0.13403979059318796,-0.6584709281338624,0.5108415157222432
33,2023-06-15,Reg_Positive,SOL,-0.3453919003357938,-1.0102041334481662,0.3133742226904015
33,2023-06-15,Reg_Positive,ADA,-0.3168675068743512,-1.5529860641877227,0.12169145161813
34,2023-08-29,Reg_Positive,BTC,-0.17914736895139774,-1.2044089317838307,0.2295705642549617
34,2023-08-29,Reg_Positive,ETH,-0.1838161542679972,-1.0135241095348517,0.3117897785548496
34,2023-08-29,Reg_Positive,SOL,-0.1972053481770521,-0.5773929337770464,0.5641936628481572
34,2023-08-29,Reg_Positive,ADA,-0.1402674573601692,-0.7056926596121236,0.4810363335114225
36,2023-11-21,Reg_Negative,BTC,0.19278099415397495,1.5002887976910093,0.13480143152921964
36,2023-11-21,Reg_Negative,ETH,0.20999530961801255,1.5667775351518272,0.11843155895010193
36,2023-11-21,Reg_Negative,SOL,0.7001689426590016,2.7328986911998125,0.006726162495725552
36,2023-11-21,Reg_Negative,ADA,0.42662447953924415,2.3202117503962016,0.021135109078816106
37,2024-01-10,Reg_Positive,BTC,-0.006774946756682446,-0.05570296457050297,0.9556229286986575
37,2024-01-10,Reg_Positive,ETH,-0.03414078602359377,-0.26650060354256955,0.7900733715419892
37,2024-01-10,Reg_Positive,SOL,0.19536938120722397,0.8287821700818729,0.4080182372705623
37,2024-01-10,Reg_Positive,ADA,-0.13770893275258406,-0.7983394830937691,0.4254312242802185
39,2024-04-20,Infra_Positive,BTC,-0.13813311511793733,-1.1825741548659057,0.2381014289440777
39,2024-04-20,Infra_Positive,ETH,-0.19253861382669496,-1.4750874579779045,0.14144728157688036
39,2024-04-20,Infra_Positive,SOL,-0.5356160417426515,-2.0266435636532742,0.04376044385995104
39,2024-04-20,Infra_Positive,ADA,-0.4019244837521744,-1.9825654620306674,0.04851068863248331
43,2025-02-21,Infra_Negative,BTC,-0.13140973474248863,-0.9173592344842342,0.35983855321742064
43,2025-02-21,Infra_Negative,ETH,-0.2049970576007853,-1.1003039440669569,0.2722580526040832
43,2025-02-21,Infra_Negative,SOL,-0.38885443500889694,-1.7341042381519174,0.08413229737817973
43,2025-02-21,Infra_Negative,ADA,-0.3068816745187044,-1.2590702350690357,0.20917930797509632
44,2025-02-27,Reg_Positive,BTC,-0.24126006457100024,-1.683086160802593,0.09360674348057874
44,2025-02-27,Reg_Positive,ETH,-0.31326731358693544,-1.6756798859098894,0.095051098061391
44,2025-02-27,Reg_Positive,SOL,-0.5748346275717994,-2.5661516350480156,0.01086698074700121
44,2025-02-27,Reg_Positive,ADA,-0.43153285515686535,-1.774054899846853,0.0772712034596772
