event_id,event_date,event_type,event_name,symbol,car,t_stat,p_value,estimation_n,model,beta,alpha
19,2021-09-24,Reg_Negative,China issues total ban on crypto transactions,BTC,0.1079037576397489,0.3954828324332104,0.6928238507990758,251,constant_mean,,
19,2021-09-24,Reg_Negative,China issues total ban on crypto transactions,ETH,-0.1976879940622478,-0.7921281868543484,0.42903692204237087,251,market_model,1.0051357823907325,0.0040694903362886595
19,2021-09-24,Reg_Negative,China issues total ban on crypto transactions,SOL,-0.5241791969495491,-0.9823163415123968,0.326893705937801,251,market_model,0.7580425452557035,0.016017356423609064
19,2021-09-24,Reg_Negative,China issues total ban on crypto transactions,ADA,-0.689554035305742,-1.7479429432776854,0.08170154453541478,251,market_model,0.9022266952456752,0.010217645815342302
20,2021-10-19,Reg_Positive,First US Bitcoin futures ETF (BITO) launches,BTC,-0.060189837654929135,-0.22517625312221445,0.8220261151588053,251,constant_mean,,
20,2021-10-19,Reg_Positive,First US Bitcoin futures ETF (BITO) launches,ETH,-0.02097994151937728,-0.09294401096671476,0.9260224805459958,251,market_model,1.0493448070682776,0.003821798193199249
20,2021-10-19,Reg_Positive,First US Bitcoin futures ETF (BITO) launches,SOL,-0.3317669729403657,-0.6700787692102629,0.5034260442501672,251,market_model,0.7930771684933348,0.01809578281657019
20,2021-10-19,Reg_Positive,First US Bitcoin futures ETF (BITO) launches,ADA,-0.517588420143379,-1.4144622302271865,0.15847044720507686,251,market_model,0.9398693459073332,0.009083246789284431
22,2022-01-05,Reg_Negative,Kazakhstan internet shutdown hits BTC hash rate,BTC,-0.11333098900082333,-0.4636389175948689,0.643309873188807,251,constant_mean,,
22,2022-01-05,Reg_Negative,Kazakhstan internet shutdown hits BTC hash rate,ETH,-0.23083395899086984,-1.1353632026594491,0.257310479354659,251,market_model,1.0911175684695584,0.004677731696648981
22,2022-01-05,Reg_Negative,Kazakhstan internet shutdown hits BTC hash rate,SOL,-0.7203079875453455,-1.6256001906478421,0.10529464106418152,251,market_model,0.8578058907674083,0.012503628633280923
22,2022-01-05,Reg_Negative,Kazakhstan internet shutdown hits BTC hash rate,ADA,-0.08711846794369688,-0.32837747958178265,0.7429011430072805,251,market_model,1.0426456350115336,0.0021738789674690504
23,2022-03-09,Reg_Positive,US Executive Order on Digital Assets,BTC,-0.029653568238312097,-0.1354143187937835,0.8923932702234316,251,constant_mean,,
23,2022-03-09,Reg_Positive,US Executive Order on Digital Assets,ETH,0.11534664394587398,0.7668783213640566,0.4438774433658308,251,market_model,1.0029629560604296,0.00029112535037922643
23,2022-03-09,Reg_Positive,US Executive Order on Digital Assets,SOL,-0.04787155956773021,-0.1411661824369679,0.8878523429831915,251,market_model,0.9128063320883416,0.0060688949588881295
23,2022-03-09,Reg_Positive,US Executive Order on Digital Assets,ADA,0.20202243511110554,0.8722417674060208,0.38391342783680216,251,market_model,0.9226943828233442,-0.0014607070101976076
24,2022-05-09,Infra_Negative,Terra/UST collapse triggers market contagion,BTC,-0.2158338216658583,-1.0373828708271944,0.3005597859218607,251,constant_mean,,
24,2022-05-09,Infra_Negative,Terra/UST collapse triggers market contagion,ETH,-0.23517958502701872,-1.7841926019210292,0.07560510783917995,251,market_model,1.0350146026143228,0.0011128910559482159
24,2022-05-09,Infra_Negative,Terra/UST collapse triggers market contagion,SOL,-0.6728681445371105,-2.181295681808298,0.03009361110391362,251,market_model,0.9683714378347058,0.005557480384621767
24,2022-05-09,Infra_Negative,Terra/UST collapse triggers market contagion,ADA,0.146261173663621,0.6367014891071422,0.5249018553479774,251,market_model,0.9752317302274862,-0.00038887722581142667
25,2022-06-12,Infra_Negative,Celsius freezes withdrawals; credit crisis unfolds,BTC,-0.39241724860536176,-1.8561854889455545,0.06460369552602474,251,constant_mean,,
25,2022-06-12,Infra_Negative,Celsius freezes withdrawals; credit crisis unfolds,ETH,-0.042843862457510686,-0.35261007157070423,0.7246778776804312,251,market_model,1.0351530067256598,-0.000302201765833386
25,2022-06-12,Infra_Negative,Celsius freezes withdrawals; credit crisis unfolds,SOL,0.3545829171606916,1.3258763503928401,0.18609082547028288,251,market_model,1.0938208178341333,-0.0012874656850052706
25,2022-06-12,Infra_Negative,Celsius freezes withdrawals; credit crisis unfolds,ADA,0.2878154138178114,1.3898867941930433,0.1657996178692518,251,market_model,1.040745154064415,-0.004407154623484676
26,2022-09-15,Infra_Positive,Ethereum Merge: full transition to proof-of-stake,BTC,-0.018158122415723538,-0.08596762508982402,0.931560962891993,251,constant_mean,,
26,2022-09-15,Infra_Positive,Ethereum Merge: full transition to proof-of-stake,ETH,-0.17444439570819173,-1.3876506941118474,0.16647902214565136,251,market_model,1.1742162253618347,0.0005498988534799591
26,2022-09-15,Infra_Positive,Ethereum Merge: full transition to proof-of-stake,SOL,0.03757996791226595,0.1700592620855544,0.8651010678657916,251,market_model,1.32456253960588,-0.0009669141839159747
26,2022-09-15,Infra_Positive,Ethereum Merge: full transition to proof-of-stake,ADA,-0.20763981764807413,-1.0070573729179544,0.31488091362625736,251,market_model,1.1833362463695283,0.0005600905072564535
27,2022-10-06,Infra_Negative,BNB Chain bridge exploit (~$570M),BTC,0.20090515064337258,0.9570847170839221,0.33944910449353927,251,constant_mean,,
27,2022-10-06,Infra_Negative,BNB Chain bridge exploit (~$570M),ETH,0.05861694378222124,0.46638180338833957,0.6413483601966661,251,market_model,1.2030642005406387,0.0011688444316016297
27,2022-10-06,Infra_Negative,BNB Chain bridge exploit (~$570M),SOL,0.04215643772923467,0.19495685860598058,0.8455850653960812,251,market_model,1.3233894229035041,-0.0012347110856345078
27,2022-10-06,Infra_Negative,BNB Chain bridge exploit (~$570M),ADA,-0.13605908056284932,-0.6693580063314243,0.5038848202964288,251,market_model,1.162159406156043,0.000631614253912226
28,2022-11-11,Infra_Negative,FTX files for bankruptcy; fraud revelations,BTC,-0.12222181902890564,-0.572338491293739,0.5676069944089517,251,constant_mean,,
28,2022-11-11,Infra_Negative,FTX files for bankruptcy; fraud revelations,ETH,0.010786980881271563,0.08191357663358019,0.9347809807761165,251,market_model,1.1568017739898886,0.0004525262404401826
28,2022-11-11,Infra_Negative,FTX files for bankruptcy; fraud revelations,SOL,-0.5202071617129309,-2.488780793199042,0.013469760776485762,251,market_model,1.2567591946342995,-0.0006223567004871095
28,2022-11-11,Infra_Negative,FTX files for bankruptcy; fraud revelations,ADA,-0.06326808963683345,-0.34742425160383655,0.7285649243943226,251,market_model,1.1088014741136065,-0.0003861202385440225
29,2023-03-10,Infra_Negative,SVB collapse; USDC briefly depegs,BTC,0.2743795411710375,1.473356230287421,0.14191296131854703,251,constant_mean,,
