week_start,S_gdelt_raw,S_gdelt_normalized,S_reg_decomposed,S_infra_decomposed,total_articles,total_mentions,reg_article_count,infra_article_count,reg_proportion,infra_proportion
2024-03-04 00:00:00.000000 UTC,-5.8237,-0.2434,-0.0678,-0.0598,61,368,17,15,0.2787,0.2459
2024-03-11 00:00:00.000000 UTC,-5.1226,0.3644,0.1109,0.0739,69,350,21,14,0.3043,0.2029
2024-03-18 00:00:00.000000 UTC,-7.9058,-1.8573,-0.8724,-0.8442,66,516,31,30,0.4697,0.4545
2024-03-25 00:00:00.000000 UTC,-4.7973,0.63,0.1106,0.0673,131,599,23,14,0.1756,0.1069
2024-04-01 00:00:00.000000 UTC,-4.457,0.8876,0.2125,0.1875,71,356,17,15,0.2394,0.2113
2024-04-08 00:00:00.000000 UTC,-6.9865,-1.1925,-0.1955,-0.2932,61,401,10,15,0.1639,0.2459
2024-04-15 00:00:00.000000 UTC,-4.4014,0.9015,0.208,0.2219,65,361,15,16,0.2308,0.2462
2024-04-22 00:00:00.000000 UTC,-5.3798,0.099,0.0231,0.0165,60,383,14,10,0.2333,0.1667
2024-04-29 00:00:00.000000 UTC,-7.155,-1.3017,-0.3505,-0.2169,78,526,21,13,0.2692,0.1667
2024-05-06 00:00:00.000000 UTC,-5.0071,0.4099,0.0997,0.0831,74,443,18,15,0.2432,0.2027
2024-05-13 00:00:00.000000 UTC,-6.305,-0.6308,-0.1645,-0.1006,69,427,18,11,0.2609,0.1594
2024-05-20 00:00:00.000000 UTC,-5.8109,-0.2497,-0.0757,-0.053,66,405,20,14,0.303,0.2121
2024-05-27 00:00:00.000000 UTC,-6.0429,-0.4285,-0.0672,-0.1008,51,294,8,12,0.1569,0.2353
2024-06-03 00:00:00.000000 UTC,-5.4684,0.0193,0.0046,0.0025,54,305,13,7,0.2407,0.1296
2024-06-10 00:00:00.000000 UTC,-6.1395,-0.5136,-0.0405,-0.0811,38,214,3,6,0.0789,0.1579
2024-06-17 00:00:00.000000 UTC,-5.1786,0.2441,0.0592,0.0333,66,389,16,9,0.2424,0.1364
2024-06-24 00:00:00.000000 UTC,-5.9931,-0.4064,-0.0618,-0.0618,46,305,7,7,0.1522,0.1522
2024-07-01 00:00:00.000000 UTC,-5.4787,0.0456,0.0125,0.0147,62,348,17,20,0.2742,0.3226
2024-07-08 00:00:00.000000 UTC,-6.0823,-0.5074,-0.2174,-0.2255,63,385,27,28,0.4286,0.4444
2024-07-15 00:00:00.000000 UTC,-5.6912,-0.1557,-0.0479,-0.0389,52,295,16,13,0.3077,0.25
2024-07-22 00:00:00.000000 UTC,-5.3535,0.1522,0.0399,0.0399,42,229,11,11,0.2619,0.2619
2024-07-29 00:00:00.000000 UTC,-5.5826,-0.0489,-0.0136,-0.0125,43,218,12,11,0.2791,0.2558
2024-08-05 00:00:00.000000 UTC,-7.6355,-1.7998,-0.3323,-0.3046,65,417,12,11,0.1846,0.1692
2024-08-12 00:00:00.000000 UTC,-3.4064,1.749,0.8745,0.159,22,80,11,2,0.5,0.0909
2024-08-19 00:00:00.000000 UTC,-6.6555,-1.1267,-0.1878,-0.0939,36,203,6,3,0.1667,0.0833
2024-08-26 00:00:00.000000 UTC,-5.1632,0.2604,0.0685,0.0411,38,201,10,6,0.2632,0.1579
2024-09-02 00:00:00.000000 UTC,-8.8036,-2.8381,-0.5256,-0.7358,27,207,5,7,0.1852,0.2593
2024-09-09 00:00:00.000000 UTC,-8.63,-2.473,-0.8945,-0.684,47,337,17,13,0.3617,0.2766
2024-09-16 00:00:00.000000 UTC,-4.0496,1.1679,0.3003,0.367,35,176,9,11,0.2571,0.3143
