snapped_at,price,market_cap,total_volume
2024-02-16,355.027460030849,54624493952.9847,2136764834.24407
2024-02-17,360.957882878442,55555098179.8011,1588840649.82611
2024-02-18,352.829147199928,54363563382.7042,933330586.139552
2024-02-19,350.169009281155,53951053589.2844,757170567.92316
2024-02-20,351.821406644611,54132337022.2729,1110732462.97498
2024-02-21,355.104997827105,54726855156.5676,1524613569.77609
2024-02-22,378.929503052857,58359108671.5306,2661779519.66149
2024-02-23,382.141399527465,58775603393.9228,2360192104.46249
2024-02-24,375.429712501751,57810488837.3553,1749806072.0427
2024-02-25,381.927652740851,58776784958.6975,804985636.596921
2024-02-26,388.56271382386,59785926171.9228,963041896.592105
2024-02-27,401.214285422481,61796843520.547,2132809425.52584
2024-02-28,395.055555191482,60787603255.2236,1960998137.95421
2024-02-29,416.253849238585,63859838282.803,2552523270.68128
2024-03-01,399.786496325967,61636826474.48,2095850379.96446
2024-03-02,407.348844633455,62775122739.2423,1385332676.79703
2024-03-03,410.836534115448,63204592655.4742,1314387721.23202
2024-03-04,414.196905784165,63713281196.5575,1719584987.82125
2024-03-05,420.007559810195,64496468994.7308,2307466548.5261
2024-03-06,396.656726480403,61079862301.287,4165589173.75837
2024-03-07,428.802134490357,65872619718.3506,3831483585.82991
2024-03-08,473.46385757404,72859603564.0703,3666791988.17782
2024-03-09,485.306408619126,74464367366.5736,4297278095.16387
2024-03-10,490.137360643607,75419943809.6168,2396403755.57082
2024-03-11,528.950196446031,81339640186.3039,5083263182.69017
2024-03-12,522.842043101288,80459552313.8982,4318571110.96329
2024-03-13,539.404206288734,82973515890.883,5281781628.36614
2024-03-14,628.45430922135,96122795409.3688,7835799279.38173
2024-03-15,603.265750757999,92860879159.6587,6486341765.1752
2024-03-16,621.656702944523,95332139987.798,7438316979.55167
2024-03-17,575.438114180957,88382508261.4473,4873020293.87647
2024-03-18,572.029730938386,87429171406.7566,4260820679.34066
2024-03-19,554.207318092333,85304304767.5779,5073017805.86052
2024-03-20,507.012218147017,78392022182.2383,5581637723.70147
2024-03-21,556.508204265314,85594796096.2078,3417739337.2125
2024-03-22,553.722543491249,85103106051.7188,2672849103.64559
2024-03-23,549.860754398009,84337192672.2198,3124492965.37726
2024-03-24,554.164415399766,85369948094.008,1672186083.52088
2024-03-25,568.740767977112,87519325913.2085,1327630622.01226
2024-03-26,586.42850399359,89876154813.3603,2019031737.03227
2024-03-27,580.852023000918,89155437215.4275,1693306626.77465
2024-03-28,575.54793743849,88283571538.5327,1665956947.15695
2024-03-29,583.29074412568,89729624228.1873,1634125731.21874
2024-03-30,616.582920554828,94853921652.4385,2715563835.7357
2024-03-31,601.206505745637,92468814501.9462,1438092187.02637
2024-04-01,606.625982080198,93359245453.8439,1048614403.56953
2024-04-02,577.957353986315,89063444405.9674,1826009070.03838
2024-04-03,550.859300835756,84673062503.8099,2713113953.54375
2024-04-04,563.599177836266,86761624020.0428,1854083309.56163
2024-04-05,585.572143382701,90093875528.1103,2275897556.81984
2024-04-06,580.067520721652,89285197819.9997,1806671109.29146
2024-04-07,585.393972044468,90006788487.5324,775436631.673631
2024-04-08,584.29894553874,89964937319.4054,676313896.182362
2024-04-09,587.456851693511,90363296271.3709,1495830970.38249
2024-04-10,581.164703742128,89457255374.7462,1802531702.20266
2024-04-11,609.123248047515,93728978737.4387,1756006041.03977
2024-04-12,605.506716491974,93147540999.4121,1771383088.203
2024-04-13,596.658133469092,91576948683.0143,3524418375.21394
2024-04-14,557.279411451163,86099199589.5992,3926924238.73335
2024-04-15,567.902176887771,87408969382.9563,2548769847.51848
2024-04-16,553.301763364125,85011167550.3726,1923606613.70985
2024-04-17,536.83488029467,82504700022.4125,1724799037.0894
2024-04-18,535.017517697155,82333439697.1172,2009266142.3479
2024-04-19,551.580753344524,84807720112.9273,1851464362.01122
2024-04-20,556.766348717498,85923611883.0912,1703907737.92863
2024-04-21,570.61834742822,87856105612.586,885801600.048258
2024-04-22,578.897083214872,89091610679.8358,941957910.168103
2024-04-23,605.25628333532,93140127566.2781,1686206128.5932
2024-04-24,606.999045777537,93383801411.1515,1640219503.65404
2024-04-25,607.553118806195,93635542239.5724,1951230236.01965
2024-04-26,614.401106857244,94529875011.338,1337858222.26184
2024-04-27,597.883608705861,91947535564.7208,940122408.836878
2024-04-28,596.398620819615,91640333790.0827,861110797.241756
2024-04-29,599.575119183512,92231373171.1776,796795163.384929
2024-04-30,593.249113386671,91413161401.8158,1017859043.82197
2024-05-01,578.189862251005,89108408710.819,2100807101.56492
2024-05-02,562.220221163871,86647236479.9799,1783633523.07554
2024-05-03,560.705341458081,86212207866.9998,1016005523.75457
2024-05-04,586.432944142985,90414397262.2298,1062371452.34048
2024-05-05,585.709191989958,90184115704.2214,676369302.312085
2024-05-06,591.569686423441,90932867485.4695,631555782.542479
2024-05-07,587.997527670391,90503755092.5663,895425709.075658
2024-05-08,577.820758078718,89135136393.8726,929793216.365727
2024-05-09,588.600181681706,90472546734.0645,1083801549.9129
2024-05-10,596.363404922741,91661021846.3465,1468087111.87482
2024-05-11,585.63209486269,90121338453.6161,979380477.543288
2024-05-12,591.532270564387,90985809410.7503,732903351.754504
2024-05-13,594.047892821934,91357231413.0337,665663954.084559
2024-05-14,591.443030244664,91128253345.7799,1118088662.94831
2024-05-15,566.654079710865,87132189800.2867,1175231610.58912
2024-05-16,582.277666854306,89750725894.9294,1173996654.38715
2024-05-17,569.183392114482,87586341914.11,1189632313.75644
2024-05-18,581.352834800721,89345836129.986,734013396.269363
2024-05-19,579.673328962123,89210402686.9666,540351693.549516
2024-05-20,574.231873901316,88348285099.3779,455091361.088638
2024-05-21,600.777766011947,92470262768.8437,1167876583.22126
2024-05-22,618.819256528706,95158766353.5078,3023714567.26805
2024-05-23,614.719377822749,94552013227.5532,1215122797.3116
2024-05-24,598.799140933079,92058316192.1733,1796320949.34244
2024-05-25,600.023743035289,92360876903.055,940610008.432909
2024-05-26,602.185289762264,92584613097.1567,508791151.439831
2024-05-27,600.009956753279,92343972911.3221,447550015.100884
2024-05-28,603.737986316048,92794496508.6977,508494021.065001
2024-05-29,601.027199842003,92543487819.7107,1009878410.70143
2024-05-30,595.190694930827,91603797198.1665,797384783.080141
2024-05-31,595.081943564791,91502935475.9871,773657056.475123
2024-06-01,593.707315996722,91484499156.3736,671745609.823045
2024-06-02,600.923978984339,92391643482.2976,592940994.97512
2024-06-03,602.947139863289,92815739994.6981,729625293.035292
2024-06-04,626.564554887942,96392830574.2577,1961098629.53446
2024-06-05,686.510667577228,105468885833.644,2674092196.77039
2024-06-06,699.924112025121,107455168164.881,2624815114.09078
2024-06-07,710.043483058906,109136373921.817,1902933087.11011
2024-06-08,683.338327979796,105049550506.881,1735949561.2539
2024-06-09,682.782749746862,105009707070.786,970666024.375192
2024-06-10,673.495305137746,103593929502.308,814918778.551696
2024-06-11,624.111186588273,95971068300.0029,2274746205.36752
2024-06-12,601.689249968719,92483600937.1491,2229553819.16561
2024-06-13,618.838773402837,95223345273.4016,1554248335.28167
2024-06-14,599.156652066458,92296382370.8245,1191864006.76663
2024-06-15,603.053817593413,92795708620.5727,1081824863.96737
2024-06-16,607.806556216913,93495111372.2779,573133472.714049
2024-06-17,609.833030933243,93844222932.5198,520408916.158091
2024-06-18,603.931770595882,92863624575.7798,993748365.859103
2024-06-19,588.354729933259,90374753660.8076,1785473969.34431
2024-06-20,598.182399570793,91968780053.3594,965104859.344474
